Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
314,2,2014-01-28,4350,519,1,0,0,0,a,a,3560.0,10.0,2001.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
13,4,2014-05-15,3563,286,1,0,0,0,d,a,310.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
551,5,2014-06-27,5691,882,1,0,0,0,a,c,2190.0,9.0,2013.0,0,,,
143,3,2013-03-13,4135,416,1,0,0,0,d,a,2930.0,12.0,2002.0,0,,,
1069,3,2013-11-20,8744,1137,1,1,0,0,a,c,18050.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
760,2,2013-12-03,8103,1155,1,1,0,0,a,a,560.0,1.0,2011.0,0,,,
506,3,2013-03-06,8870,1026,1,1,0,0,a,a,1850.0,12.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
938,1,2014-01-20,13780,1212,1,1,0,0,a,a,2820.0,9.0,2009.0,0,,,
672,5,2013-03-08,8975,1393,1,1,0,0,c,a,240.0,9.0,2002.0,0,,,
128,2,2014-03-25,6524,521,1,0,0,0,d,c,2000.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
1035,5,2015-03-27,4304,515,1,0,0,0,a,a,27150.0,,,0,,,
139,1,2013-04-29,8568,680,1,1,0,0,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
366,5,2013-01-11,6907,670,1,1,0,0,d,c,6470.0,12.0,2004.0,0,,,
8,2,2013-12-31,2694,354,1,0,0,1,a,a,7520.0,10.0,2014.0,0,,,
367,6,2015-03-21,4341,512,1,0,0,0,d,c,2640.0,9.0,2012.0,0,,,
780,1,2013-12-16,16867,1439,1,1,0,0,a,a,18160.0,,,0,,,
341,4,2014-11-06,6177,817,1,1,0,0,a,a,190.0,9.0,2011.0,0,,,
893,4,2014-01-23,7047,866,1,1,0,0,a,a,130.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
1016,1,2015-02-16,6200,456,1,1,0,0,c,c,550.0,,,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
961,2,2013-09-17,4875,583,1,0,0,0,d,c,9430.0,,,0,,,
427,6,2015-03-28,7370,727,1,0,0,0,a,c,70.0,7.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
751,5,2014-10-24,3792,583,1,1,0,0,a,a,650.0,10.0,2006.0,0,,,
313,3,2015-05-20,7423,657,1,1,0,0,d,c,14160.0,,,0,,,
859,2,2013-12-10,6404,661,1,0,0,0,c,a,21770.0,7.0,2015.0,0,,,
467,5,2014-10-17,9872,1331,1,0,0,1,a,c,20390.0,4.0,2008.0,0,,,
111,2,2013-08-06,4309,442,1,0,0,1,d,c,7890.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
685,2,2014-10-21,5885,506,1,1,0,0,a,a,650.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
417,4,2014-03-06,9032,993,1,1,0,0,a,c,840.0,,,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
539,6,2013-04-27,13192,1247,1,0,0,0,a,a,770.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
340,1,2013-12-30,7381,842,1,0,0,1,a,c,8080.0,,,0,,,
663,1,2015-01-05,8893,1136,1,1,0,1,a,c,7860.0,5.0,2005.0,0,,,
877,6,2014-04-05,4368,630,1,0,0,0,a,c,29190.0,,,0,,,
248,1,2013-09-09,10094,1231,1,1,0,0,a,c,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
776,2,2013-08-13,5483,571,1,1,0,1,c,a,700.0,4.0,2009.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
385,1,2014-06-02,11360,876,1,1,0,0,d,a,4580.0,9.0,2007.0,0,,,
329,2,2013-07-02,8305,709,1,1,0,0,a,a,1310.0,6.0,1990.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
883,6,2014-07-05,3027,284,1,0,0,0,a,a,3200.0,6.0,2005.0,0,,,
9,3,2013-06-19,5116,490,1,1,0,0,a,c,2030.0,8.0,2000.0,0,,,
991,5,2013-08-23,3414,391,1,0,0,1,a,a,1010.0,,,0,,,
602,2,2015-06-16,8428,700,1,1,0,0,a,a,2710.0,7.0,2001.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
376,6,2014-01-11,6312,755,1,0,0,0,a,a,160.0,8.0,2012.0,0,,,
463,3,2013-08-28,5797,845,1,1,0,1,a,a,4160.0,,,0,,,
681,3,2013-10-02,3789,646,1,0,0,0,a,c,620.0,,,1,1.0,2014.0,"Mar,Jun,Sept,Dec"
738,4,2013-09-19,6271,599,1,0,0,0,d,c,5980.0,10.0,2005.0,0,,,
773,1,2013-09-09,7255,961,1,1,0,0,a,a,200.0,,,0,,,
653,3,2013-04-03,4422,410,1,0,0,1,d,c,7520.0,7.0,2014.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
844,5,2013-01-04,3332,432,1,0,0,1,a,a,2030.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
458,3,2014-07-02,8678,731,1,1,0,0,c,a,3390.0,,,0,,,
407,5,2013-11-29,4228,355,1,0,0,0,a,a,5890.0,10.0,2003.0,1,14.0,2011.0,"Feb,May,Aug,Nov"
1051,3,2014-11-05,9623,1194,1,1,0,0,c,a,200.0,7.0,1998.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
430,3,2014-03-26,6080,542,1,0,0,0,d,c,12870.0,10.0,2008.0,0,,,
1037,6,2014-03-01,8059,974,1,0,0,0,a,c,150.0,,,0,,,
742,1,2013-03-04,11482,1190,1,1,0,0,d,c,4380.0,,,0,,,
647,3,2015-07-15,6555,692,1,1,0,0,a,c,7420.0,4.0,2013.0,0,,,
104,5,2015-04-17,10723,1304,1,1,0,0,a,a,390.0,6.0,2009.0,0,,,
299,7,2013-09-22,2419,289,1,0,0,0,d,c,38630.0,9.0,2012.0,0,,,
553,1,2014-12-29,9420,812,1,0,0,1,c,a,3040.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
703,3,2014-07-09,2339,260,1,0,0,1,a,a,80.0,6.0,2005.0,0,,,
358,1,2013-11-04,15638,1459,1,1,0,0,a,a,2890.0,10.0,2003.0,0,,,
764,5,2014-01-17,3046,422,1,0,0,0,a,c,26490.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
671,4,2013-01-10,5532,574,1,1,0,0,a,c,2070.0,2.0,2008.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
120,1,2014-09-01,10864,817,1,1,0,1,d,a,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
1053,2,2014-05-20,10667,1103,1,1,0,0,a,a,1710.0,7.0,2015.0,0,,,
668,2,2014-02-18,10062,1198,1,1,0,0,c,a,1270.0,9.0,2010.0,0,,,
912,4,2013-04-18,3659,595,1,0,0,0,c,c,3100.0,5.0,2010.0,0,,,
215,1,2015-04-13,8715,613,1,1,0,0,d,a,150.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
832,3,2015-06-10,5090,464,1,0,0,0,d,a,5070.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
662,2,2013-01-15,5272,570,1,0,0,0,d,a,1070.0,,,0,,,
124,2,2015-02-24,4165,558,1,0,0,0,a,a,1410.0,4.0,2003.0,0,,,
38,4,2014-05-08,6663,570,1,1,0,0,d,a,1090.0,4.0,2007.0,0,,,
38,2,2013-05-28,7835,605,1,1,0,0,d,a,1090.0,4.0,2007.0,0,,,
901,4,2014-10-23,6593,636,1,1,0,1,a,c,3170.0,4.0,2014.0,0,,,
386,5,2015-03-13,6383,531,1,0,0,0,d,c,1460.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
178,3,2015-07-29,10766,877,1,1,0,1,d,a,1710.0,,,0,,,
89,6,2015-01-24,4273,444,1,0,0,0,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
269,5,2014-10-24,9145,1246,1,1,0,0,a,c,60.0,6.0,2015.0,0,,,
319,2,2013-07-23,5476,672,1,0,0,1,a,c,570.0,9.0,2012.0,1,27.0,2012.0,"Mar,Jun,Sept,Dec"
585,2,2013-12-31,4189,649,1,0,0,1,d,c,440.0,4.0,2014.0,0,,,
102,1,2013-12-09,6456,1086,1,0,0,0,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
1115,3,2013-01-30,3813,287,1,0,0,0,d,c,5350.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
122,5,2013-07-05,7586,979,1,1,0,1,a,c,58260.0,4.0,2013.0,0,,,
233,6,2013-01-05,7181,857,1,0,0,1,a,a,1890.0,,,0,,,
770,4,2014-04-03,7681,854,1,1,0,0,a,c,100.0,4.0,2015.0,0,,,
77,1,2014-10-06,11485,905,1,1,0,0,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
757,2,2014-03-04,6812,582,1,1,0,0,a,c,3450.0,,,0,,,
58,6,2013-03-30,7183,704,1,0,0,0,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
176,5,2013-09-06,4332,595,1,0,0,0,a,a,3770.0,,,0,,,
97,3,2014-06-11,5505,619,1,0,0,0,d,c,8980.0,,,0,,,
947,4,2013-02-21,7644,971,1,1,0,0,a,a,460.0,3.0,2014.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
535,1,2014-12-01,13549,1327,1,1,0,0,a,a,3570.0,4.0,2007.0,0,,,
57,2,2015-01-27,10301,953,1,1,0,0,d,c,420.0,6.0,2014.0,0,,,
684,5,2013-01-04,5768,525,1,0,0,1,d,c,680.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
947,2,2014-04-01,7063,1042,1,1,0,0,a,a,460.0,3.0,2014.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
863,4,2014-11-20,6982,895,1,0,0,0,a,c,21370.0,11.0,2010.0,0,,,
44,6,2014-06-21,3629,440,1,0,0,0,a,a,540.0,6.0,2011.0,0,,,
122,6,2013-09-21,5927,806,1,0,0,0,a,c,58260.0,4.0,2013.0,0,,,
1005,5,2014-03-14,5611,934,1,0,0,0,a,a,6480.0,,,0,,,
528,3,2013-01-16,6991,684,1,0,0,0,a,c,20620.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
899,2,2013-01-15,4698,586,1,0,0,0,d,a,2590.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
654,4,2015-04-16,7267,738,1,1,0,0,c,a,6930.0,9.0,2006.0,0,,,
366,3,2014-01-29,4459,473,1,0,0,0,d,c,6470.0,12.0,2004.0,0,,,
720,3,2014-07-30,9414,748,1,1,0,1,a,c,15320.0,3.0,2011.0,1,14.0,2013.0,"Feb,May,Aug,Nov"
163,2,2013-07-02,8277,952,1,1,0,1,a,a,1480.0,4.0,2009.0,0,,,
1028,3,2013-05-08,4403,556,1,0,0,0,a,a,150.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
353,6,2013-11-09,4223,1119,1,0,0,0,b,b,900.0,,,1,14.0,2013.0,"Feb,May,Aug,Nov"
932,1,2014-01-13,6202,718,1,0,0,0,a,a,15700.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
622,4,2014-04-17,6381,634,1,1,0,1,a,c,,,,0,,,
231,5,2015-03-20,5319,426,1,1,0,0,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
306,6,2014-04-26,2494,269,1,0,0,0,a,a,5100.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
629,6,2013-01-05,5843,628,1,0,0,0,d,a,510.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
320,1,2014-01-20,18792,2351,1,1,0,0,a,c,210.0,9.0,2012.0,0,,,
75,6,2014-05-17,5350,631,1,0,0,0,d,c,22440.0,12.0,2013.0,0,,,
344,3,2013-11-06,8917,1168,1,1,0,0,a,c,300.0,4.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
698,5,2014-02-21,14721,1860,1,1,0,0,a,a,1790.0,5.0,2011.0,0,,,
700,6,2015-07-11,2540,311,1,0,0,0,a,c,830.0,,,1,27.0,2013.0,"Jan,Apr,Jul,Oct"
577,5,2014-04-04,5963,666,1,1,0,0,a,c,2270.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
182,3,2014-06-04,5618,448,1,1,0,0,d,c,1390.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
860,1,2013-11-11,3192,553,1,0,0,0,c,c,5980.0,2.0,2010.0,0,,,
428,6,2015-06-06,6689,548,1,0,0,0,d,a,2960.0,12.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
619,2,2013-12-03,6851,575,1,1,0,0,a,a,1600.0,6.0,2006.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
309,4,2015-01-22,5145,475,1,0,0,0,d,a,8740.0,,,1,37.0,2009.0,"Feb,May,Aug,Nov"
102,1,2014-09-22,5347,832,1,0,0,0,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
62,5,2014-05-23,6671,740,1,1,0,0,a,a,2050.0,,,0,,,
1011,6,2014-07-12,8591,1059,1,0,0,0,a,c,490.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
1098,3,2015-02-18,5167,687,1,1,0,1,a,a,1830.0,11.0,2004.0,0,,,
762,5,2014-08-08,4042,369,1,1,0,1,d,c,1280.0,,,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
177,5,2013-04-19,3609,485,1,0,0,0,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
434,6,2013-09-14,10372,828,1,0,0,0,a,a,13020.0,8.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
1030,2,2015-06-16,5436,426,1,1,0,0,a,a,36410.0,4.0,2008.0,0,,,
302,6,2014-02-08,4172,387,1,0,0,0,d,c,2190.0,12.0,2007.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
79,1,2013-04-22,6896,682,1,1,0,0,a,a,3320.0,,,0,,,
230,3,2015-02-25,5856,826,1,0,0,0,d,c,6680.0,9.0,2013.0,0,,,
878,2,2014-04-01,11280,953,1,1,0,0,d,c,1100.0,12.0,2014.0,0,,,
313,3,2015-02-25,4392,514,1,0,0,0,d,c,14160.0,,,0,,,
872,4,2013-01-24,9215,928,1,1,0,0,a,c,3860.0,9.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
1046,2,2013-05-14,8897,716,1,1,0,1,d,c,29070.0,4.0,2005.0,0,,,
101,2,2015-03-31,11881,920,1,1,0,0,d,c,2440.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
259,5,2013-11-22,12409,2369,1,1,0,0,b,b,210.0,,,0,,,
434,5,2014-03-21,10398,753,1,1,0,0,a,a,13020.0,8.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
811,3,2015-03-18,3603,623,1,1,0,0,a,a,410.0,9.0,2012.0,0,,,
760,4,2013-10-31,7130,1220,1,0,0,0,a,a,560.0,1.0,2011.0,0,,,
912,4,2013-03-21,6466,807,1,1,0,0,c,c,3100.0,5.0,2010.0,0,,,
688,2,2015-01-20,2559,298,1,0,0,0,a,a,18760.0,8.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
1012,5,2013-07-12,5887,522,1,0,0,0,d,c,6330.0,6.0,2004.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
45,1,2015-03-16,7183,494,1,1,0,0,d,a,9710.0,2.0,2014.0,0,,,
111,2,2014-08-19,6666,574,1,1,0,1,d,c,7890.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
510,1,2014-09-08,6966,864,1,0,0,0,a,c,8260.0,,,0,,,
237,5,2013-05-24,4222,575,1,0,0,0,a,a,1420.0,11.0,2007.0,0,,,
1088,4,2014-02-20,5815,556,1,1,0,0,a,a,4300.0,3.0,2009.0,1,27.0,2013.0,"Jan,Apr,Jul,Oct"
246,4,2013-06-13,5821,820,1,0,0,0,c,a,4660.0,4.0,2013.0,0,,,
964,2,2014-12-02,12251,1469,1,1,0,0,a,a,270.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
27,4,2015-06-11,7529,958,1,0,0,0,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
268,6,2014-05-17,3272,434,1,0,0,0,a,a,4520.0,2.0,2014.0,0,,,
491,3,2013-12-04,8743,592,1,1,0,0,d,c,4680.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
617,1,2013-07-01,8122,743,1,1,0,0,a,c,8940.0,,,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
987,6,2014-08-30,4432,591,1,0,0,0,c,a,1690.0,6.0,2007.0,0,,,
1032,1,2013-09-30,10252,1147,1,0,0,0,d,c,270.0,2.0,2013.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
964,1,2015-06-01,11573,1395,1,1,0,1,a,a,270.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
189,1,2014-12-22,14299,1322,1,0,0,1,d,a,5760.0,7.0,2014.0,0,,,
297,3,2013-05-15,7571,786,1,1,0,0,a,a,2300.0,9.0,2010.0,0,,,
51,3,2013-12-18,9015,581,1,1,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
1079,3,2013-05-22,7721,646,1,0,0,0,a,a,16680.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
271,2,2015-02-17,11585,1057,1,1,0,1,a,a,420.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
449,2,2014-06-17,13885,1710,1,1,0,0,a,c,120.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
777,2,2014-12-23,7665,646,1,0,0,1,d,c,8250.0,10.0,2004.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
688,1,2013-02-11,2969,370,1,0,0,0,a,a,18760.0,8.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
514,4,2015-06-25,5116,523,1,0,0,0,c,c,1200.0,7.0,2012.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
1085,4,2013-09-26,8057,793,1,1,0,0,c,a,4030.0,2.0,2015.0,0,,,
1107,4,2013-08-22,3526,454,1,0,0,1,a,a,1400.0,6.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
974,6,2014-02-15,8984,1322,1,0,0,0,a,a,150.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
846,2,2013-11-05,12832,1126,1,1,0,0,a,c,8860.0,4.0,2004.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
1112,5,2013-05-24,9598,850,1,0,0,0,c,c,1880.0,4.0,2006.0,0,,,
67,3,2013-05-22,6286,695,1,0,0,1,a,c,410.0,2.0,2006.0,0,,,
653,2,2013-03-12,5133,487,1,0,0,0,d,c,7520.0,7.0,2014.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
72,1,2013-11-11,3980,482,1,0,0,0,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
1052,5,2015-07-10,6464,710,1,0,0,1,a,c,5080.0,,,1,31.0,2013.0,"Feb,May,Aug,Nov"
260,1,2014-05-19,7328,1001,1,1,0,0,a,a,540.0,10.0,2011.0,0,,,
889,4,2015-07-02,5061,499,1,1,0,0,d,a,18670.0,12.0,2005.0,0,,,
894,5,2014-08-29,8714,1149,1,0,0,0,a,a,190.0,11.0,2012.0,0,,,
80,2,2015-02-24,5607,485,1,0,0,0,d,a,7910.0,,,0,,,
909,6,2015-03-07,9259,991,1,0,0,0,a,c,1680.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
164,4,2013-07-11,4143,507,1,0,0,0,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
981,2,2015-05-19,7889,791,1,1,0,1,d,c,2620.0,11.0,2002.0,0,,,
641,5,2014-04-25,4474,471,1,0,0,1,a,c,610.0,12.0,2003.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
1100,2,2015-02-03,7238,795,1,1,0,0,a,a,540.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
164,5,2013-01-04,5358,576,1,0,0,1,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
1034,6,2015-04-25,2132,239,1,0,0,0,a,a,13750.0,4.0,2015.0,0,,,
755,5,2013-03-01,10575,935,1,0,0,0,d,c,13130.0,12.0,2003.0,0,,,
353,5,2015-01-30,7518,1789,1,1,0,0,b,b,900.0,,,1,14.0,2013.0,"Feb,May,Aug,Nov"
997,6,2014-07-19,3309,295,1,0,0,0,d,c,5840.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
746,6,2015-05-02,8499,705,1,0,0,0,d,c,4330.0,2.0,2011.0,1,35.0,2011.0,"Mar,Jun,Sept,Dec"
380,4,2014-06-26,11101,1130,1,0,0,0,a,a,2240.0,5.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
858,3,2013-08-07,4389,383,1,0,0,1,a,a,3370.0,12.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
590,3,2013-03-27,5923,474,1,1,0,1,d,c,4520.0,9.0,2010.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
521,6,2013-06-15,4961,410,1,0,0,0,d,a,18610.0,11.0,2002.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
544,3,2013-08-07,12444,1783,1,0,0,1,a,a,250.0,12.0,2001.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
173,1,2013-04-22,11147,1307,1,1,0,0,a,a,350.0,12.0,2012.0,0,,,
816,1,2015-02-23,3074,545,1,0,0,0,c,c,460.0,,,0,,,
550,5,2013-06-21,5819,475,1,1,0,0,d,c,50.0,6.0,2015.0,0,,,
811,3,2013-02-13,3155,598,1,0,0,0,a,a,410.0,9.0,2012.0,0,,,
366,4,2015-06-18,6190,615,1,1,0,0,d,c,6470.0,12.0,2004.0,0,,,
79,3,2015-05-06,6556,630,1,1,0,0,a,a,3320.0,,,0,,,
685,1,2015-05-04,10022,793,1,1,0,0,a,a,650.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
40,2,2014-03-25,3626,553,1,0,0,0,a,a,180.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
1112,5,2014-06-13,7416,694,1,0,0,0,c,c,1880.0,4.0,2006.0,0,,,
352,2,2014-07-22,4572,483,1,0,0,1,d,c,6360.0,,,1,40.0,2012.0,"Mar,Jun,Sept,Dec"
212,6,2013-02-02,3747,346,1,0,0,0,a,c,15050.0,9.0,2008.0,0,,,
917,4,2013-07-25,5539,666,1,0,0,1,a,a,7240.0,2.0,2010.0,0,,,
793,5,2015-06-12,3876,397,1,0,0,0,d,a,2710.0,7.0,2006.0,0,,,
494,2,2015-01-13,8687,1190,1,1,0,0,b,a,1260.0,6.0,2011.0,0,,,
68,4,2013-10-31,6966,1131,1,0,0,0,a,c,250.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
493,1,2014-12-29,9780,971,1,0,0,1,d,c,1150.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
998,1,2014-07-28,5666,588,1,1,0,0,a,a,780.0,9.0,2005.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
1103,6,2014-07-05,5463,419,1,0,0,0,d,c,1340.0,10.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
547,1,2015-04-20,5164,396,1,0,0,0,d,c,8990.0,11.0,2009.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
57,1,2013-09-23,16198,1398,1,1,0,0,d,c,420.0,6.0,2014.0,0,,,
438,2,2014-09-02,6691,611,1,1,0,0,d,c,1110.0,,,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
45,4,2013-08-08,4382,399,1,0,0,1,d,a,9710.0,2.0,2014.0,0,,,
314,2,2014-05-06,6115,615,1,1,0,0,a,a,3560.0,10.0,2001.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
224,6,2013-02-09,5347,439,1,0,0,0,d,c,7930.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
476,1,2014-03-24,4926,641,1,0,0,0,d,a,8300.0,9.0,2006.0,0,,,
547,3,2013-02-20,4610,308,1,1,0,0,d,c,8990.0,11.0,2009.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
443,2,2014-10-21,6121,535,1,1,0,1,d,a,11400.0,12.0,2005.0,0,,,
46,3,2013-07-17,5579,686,1,1,0,0,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
593,2,2015-01-20,7175,1047,1,0,0,0,a,c,33060.0,3.0,2010.0,0,,,
913,3,2015-04-01,12732,1392,1,1,0,1,a,a,280.0,,,0,,,
